Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Month_Num
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.0,585.552,2016,December,12
151,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0.0,80.6285,2016,December,12
158,CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,Consumer,United States,Seattle,Washington,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,2014,March,3
161,CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0.0,2.691,2016,May,5
164,CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,Consumer,United States,Seattle,Washington,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,2016,November,11
165,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,2014,September,9
166,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992,2014,September,9
167,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347,2014,September,9
168,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858,2014,September,9
169,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136,2014,September,9
170,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849,2014,September,9
171,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985,2014,September,9
172,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,United States,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0.0,9.8418,2014,August,8
173,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,United States,Los Angeles,California,West,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,110.96,2,0.0,53.2608,2014,August,8
174,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,United States,Los Angeles,California,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259,2014,August,8
181,CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,Corporate,United States,Decatur,Illinois,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612,2014,December,12
182,CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,Corporate,United States,Decatur,Illinois,Central,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,76.6395,2014,December,12
202,CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,Consumer,United States,Denver,Colorado,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875,2014,August,8
203,CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,Consumer,United States,Denver,Colorado,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925,2014,August,8
205,CA-2017-126382,2017-06-03,2017-06-07,Standard Class,HK-14890,Corporate,United States,Franklin,Tennessee,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712,2017,June,6
207,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4,0.0,5.8744,2017,December,12
208,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0.0,35.6346,2017,December,12
209,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0.0,7.4824,2017,December,12
210,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,0.0,16.2099,2017,December,12
211,CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0.0,3.6796,2017,December,12
213,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68,2,0.2,8.88,2015,January,1
214,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323,2015,January,1
215,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,62.982,3,0.4,-14.6958,2015,January,1
216,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0,9,0.7,-950.4,2015,January,1
217,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,0.2,4.4792,2015,January,1
232,US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,Home Office,United States,Tampa,Florida,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86,2,0.45,-102.048,2017,April,4
233,US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,Home Office,United States,Tampa,Florida,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,0.45,-248.2458,2017,April,4
234,US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,Home Office,United States,Tampa,Florida,South,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.328,2,0.7,-3.552,2017,April,4
235,US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,Home Office,United States,Tampa,Florida,South,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0.2,0.0,2017,April,4
236,US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,Home Office,United States,Tampa,Florida,South,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.976,3,0.2,-7.7247,2017,April,4
238,CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,25.92,5,0.2,9.396,2016,June,6
239,CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,0.6,-356.728,2016,June,6
240,CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,11.688,3,0.6,-4.6752,2016,June,6
241,CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,31.984,2,0.2,11.1944,2016,June,6
242,CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,177.225,5,0.5,-120.513,2016,June,6
243,CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.044,3,0.6,-2.8308,2016,June,6
244,CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038,2016,June,6
245,CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0.0,580.5394,2014,June,6
246,CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,Central,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2,0.0,41.68,2014,June,6
247,CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6,0.0,23.94,2014,June,6
248,CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,0.0,496.0725,2014,June,6
249,CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,Central,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,25.92,4,0.0,12.4416,2014,June,6
259,CA-2017-163139,2017-12-01,2017-12-03,Second Class,CC-12670,Consumer,United States,New York City,New York,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37,3,0.0,6.9258,2017,December,12
260,CA-2017-163139,2017-12-01,2017-12-03,Second Class,CC-12670,Consumer,United States,New York City,New York,East,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,221.55,3,0.0,6.6465,2017,December,12
261,CA-2017-163139,2017-12-01,2017-12-03,Second Class,CC-12670,Consumer,United States,New York City,New York,East,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,17.52,5,0.2,6.132,2017,December,12
262,US-2017-155299,2017-06-08,2017-06-12,Standard Class,Dl-13600,Corporate,United States,Pasadena,Texas,Central,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,2,0.8,-4.466,2017,June,6
283,CA-2015-130890,2015-11-02,2015-11-06,Standard Class,JO-15280,Consumer,United States,Los Angeles,California,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5,0.2,51.942,2015,November,11
305,CA-2015-144253,2015-05-04,2015-05-09,Second Class,AS-10225,Corporate,United States,New York City,New York,East,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,2,0.0,12.864,2015,May,5
307,CA-2014-111003,2014-06-01,2014-06-06,Standard Class,CR-12625,Home Office,United States,Lakewood,New Jersey,East,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,3,0.0,20.9208,2014,June,6
308,CA-2014-111003,2014-06-01,2014-06-06,Standard Class,CR-12625,Home Office,United States,Lakewood,New Jersey,East,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,6,0.0,83.868,2014,June,6
318,CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,Home Office,United States,New York City,New York,East,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882,1,0.1,24.1568,2014,November,11
319,CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,Home Office,United States,New York City,New York,East,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,2,0.0,1995.99,2014,November,11
320,CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,Home Office,United States,New York City,New York,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,275.94,6,0.0,80.0226,2014,November,11
321,CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,Home Office,United States,New York City,New York,East,TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,360.0,4,0.0,129.6,2014,November,11
322,CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,Home Office,United States,New York City,New York,East,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",43.57,1,0.0,13.071,2014,November,11
326,CA-2017-153339,2017-11-03,2017-11-05,Second Class,DJ-13510,Corporate,United States,Murfreesboro,Tennessee,South,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,15.992,1,0.2,0.9995,2017,November,11
335,CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,Consumer,United States,Los Angeles,California,West,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,4.752,1,0.2,1.6038,2015,September,9
336,CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,Consumer,United States,Los Angeles,California,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,2,0.2,335.9944,2015,September,9
337,CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,Consumer,United States,Los Angeles,California,West,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,14.368,4,0.2,4.49,2015,September,9
347,CA-2017-134306,2017-07-08,2017-07-12,Standard Class,TD-20995,Consumer,United States,Lowell,Massachusetts,East,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",7.56,3,0.0,3.0996,2017,July,7
348,CA-2017-134306,2017-07-08,2017-07-12,Standard Class,TD-20995,Consumer,United States,Lowell,Massachusetts,East,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,24.56,2,0.0,11.5432,2017,July,7
349,CA-2017-134306,2017-07-08,2017-07-12,Standard Class,TD-20995,Consumer,United States,Lowell,Massachusetts,East,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",12.96,2,0.0,4.1472,2017,July,7
350,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Home Office,United States,New York City,New York,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,6.79,1,0.0,2.3086,2016,September,9
351,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Home Office,United States,New York City,New York,East,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,24.56,2,0.0,11.5432,2016,September,9
352,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Home Office,United States,New York City,New York,East,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,3.048,1,0.2,1.0668,2016,September,9
353,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Home Office,United States,New York City,New York,East,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,49.12,4,0.0,23.0864,2016,September,9
354,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Home Office,United States,New York City,New York,East,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.168,4,0.2,1415.4296,2016,September,9
360,CA-2017-155698,2017-03-08,2017-03-11,First Class,VB-21745,Corporate,United States,Columbus,Georgia,South,OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,8,0.0,168.4384,2017,March,3
361,CA-2017-155698,2017-03-08,2017-03-11,First Class,VB-21745,Corporate,United States,Columbus,Georgia,South,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",20.7,2,0.0,9.936,2017,March,3
387,CA-2015-122756,2015-12-03,2015-12-07,Standard Class,DK-13225,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,482.34,4,0.7,-337.638,2015,December,12
388,CA-2015-122756,2015-12-03,2015-12-07,Standard Class,DK-13225,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,2.96,1,0.2,0.777,2015,December,12
394,US-2014-134971,2014-06-07,2014-06-10,Second Class,BP-11095,Corporate,United States,Peoria,Illinois,Central,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,12.462,3,0.8,-20.5623,2014,June,6
399,CA-2016-108987,2016-09-08,2016-09-10,Second Class,AG-10675,Consumer,United States,Houston,Texas,Central,OFF-ST-10001580,Office Supplies,Storage,Super Decoflex Portable Personal File,35.952,3,0.2,3.5952,2016,September,9
400,CA-2016-108987,2016-09-08,2016-09-10,Second Class,AG-10675,Consumer,United States,Houston,Texas,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,4,0.32,-317.1528,2016,September,9
401,CA-2016-108987,2016-09-08,2016-09-10,Second Class,AG-10675,Consumer,United States,Houston,Texas,Central,OFF-ST-10000934,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",131.136,4,0.2,-32.784,2016,September,9
